RPT_DATE,RPT_YR,GEOGRAPHY,SVC_DESC,AMOUNT,AMOUNT_ANNOT,AMOUNT_TYPE
6/30/2020,FY1920,Alameda,ALL,410,,BENEFICIARIES
6/30/2020,FY1920,Alameda,ALL,4582252.75,,DOLLARS
6/30/2020,FY1920,Alameda,CASE_MANAGEMENT/BROKERAGE,59,,BENEFICIARIES
6/30/2020,FY1920,Alameda,CASE_MANAGEMENT/BROKERAGE,28843.11,,MINUTES
6/30/2020,FY1920,Alameda,CASE_MANAGEMENT/BROKERAGE,67458.86,,DOLLARS
6/30/2020,FY1920,Alameda,CRISIS_INTERVENTION,18,,BENEFICIARIES
6/30/2020,FY1920,Alameda,CRISIS_INTERVENTION,5019.855,,MINUTES
6/30/2020,FY1920,Alameda,CRISIS_INTERVENTION,22057.67,,DOLLARS
6/30/2020,FY1920,Alameda,CRISIS_RESIDENTIAL_TX_SVCS,,1,BENEFICIARIES
6/30/2020,FY1920,Alameda,CRISIS_RESIDENTIAL_TX_SVCS,,1,DAYS
6/30/2020,FY1920,Alameda,CRISIS_RESIDENTIAL_TX_SVCS,,1,DOLLARS
6/30/2020,FY1920,Alameda,CRISIS_STABILIZATION,14,,BENEFICIARIES
6/30/2020,FY1920,Alameda,CRISIS_STABILIZATION,758,,HOURS
6/30/2020,FY1920,Alameda,CRISIS_STABILIZATION,146213.16,,DOLLARS
6/30/2020,FY1920,Alameda,FULL_DAY_TX_INTENSIVE,,1,BENEFICIARIES
6/30/2020,FY1920,Alameda,FULL_DAY_TX_INTENSIVE,,1,DOLLARS
6/30/2020,FY1920,Alameda,FULL_DAY_TX_INTENSIVE,,1,HOURS
6/30/2020,FY1920,Alameda,ICC,300,,BENEFICIARIES
6/30/2020,FY1920,Alameda,ICC,520417.185,,MINUTES
6/30/2020,FY1920,Alameda,ICC,1213356.5,,DOLLARS
6/30/2020,FY1920,Alameda,IHBS,68,,BENEFICIARIES
6/30/2020,FY1920,Alameda,IHBS,75278.25,,MINUTES
6/30/2020,FY1920,Alameda,IHBS,227201.35,,DOLLARS
6/30/2020,FY1920,Alameda,INPATIENT_ADMIN,,1,BENEFICIARIES
6/30/2020,FY1920,Alameda,INPATIENT_ADMIN,,1,DAYS
6/30/2020,FY1920,Alameda,INPATIENT_ADMIN,,1,DOLLARS
6/30/2020,FY1920,Alameda,MEDICATION_SUPPORT_SVCS,33,,BENEFICIARIES
6/30/2020,FY1920,Alameda,MEDICATION_SUPPORT_SVCS,12570.105,,MINUTES
6/30/2020,FY1920,Alameda,MEDICATION_SUPPORT_SVCS,74947.41,,DOLLARS
6/30/2020,FY1920,Alameda,MENTAL_HEALTH_SVCS,144,,BENEFICIARIES
6/30/2020,FY1920,Alameda,MENTAL_HEALTH_SVCS,764679.12,,MINUTES
6/30/2020,FY1920,Alameda,MENTAL_HEALTH_SVCS,2291570.77,,DOLLARS
6/30/2020,FY1920,Alameda,PSYCHIATRIC_HEALTH_FACILITY,,1,BENEFICIARIES
